Div Name,School Name,Sch Type,"LowGrade","HighGrade",Subject,PassRate
ALEXANDRIA,WILLIAM RAMSAY ELEM,Elem,KG,5,Science,40
ALLEGHANY CO PBLC SCHS,ALLEGHANY HIGH,High,9,12,English: Reading,77
ALLEGHANY CO PBLC SCHS,ALLEGHANY HIGH,High,9,12,English: Writing,76
ALLEGHANY CO PBLC SCHS,ALLEGHANY HIGH,High,9,12,History & Social Sciences,79
ALLEGHANY CO PBLC SCHS,ALLEGHANY HIGH,High,9,12,Mathematics,58
ALLEGHANY CO PBLC SCHS,ALLEGHANY HIGH,High,9,12,Science,77
ALLEGHANY CO PBLC SCHS,CALLAGHAN ELEM,Elem,KG,5,English: Reading,77
ALLEGHANY CO PBLC SCHS,CALLAGHAN ELEM,Elem,KG,5,History & Social Sciences,95
ALLEGHANY CO PBLC SCHS,CALLAGHAN ELEM,Elem,KG,5,Mathematics,75
ALLEGHANY CO PBLC SCHS,CALLAGHAN ELEM,Elem,KG,5,Science,76
ALLEGHANY CO PBLC SCHS,CLIFTON MIDDLE,Middle,6,8,English: Reading,75
ALLEGHANY CO PBLC SCHS,CLIFTON MIDDLE,Middle,6,8,English: Writing,62
ALLEGHANY CO PBLC SCHS,CLIFTON MIDDLE,Middle,6,8,History & Social Sciences,87
ALLEGHANY CO PBLC SCHS,CLIFTON MIDDLE,Middle,6,8,Mathematics,85
ALLEGHANY CO PBLC SCHS,CLIFTON MIDDLE,Middle,6,8,Science,71
ALLEGHANY CO PBLC SCHS,MOUNTAIN VIEW ELEM,Elem,KG,5,English: Reading,72
ALLEGHANY CO PBLC SCHS,MOUNTAIN VIEW ELEM,Elem,KG,5,History & Social Sciences,85
ALLEGHANY CO PBLC SCHS,MOUNTAIN VIEW ELEM,Elem,KG,5,Mathematics,67
ALLEGHANY CO PBLC SCHS,MOUNTAIN VIEW ELEM,Elem,KG,5,Science,64
ALLEGHANY CO PBLC SCHS,SHARON ELEM,Elem,KG,5,English: Reading,74
ALLEGHANY CO PBLC SCHS,SHARON ELEM,Elem,KG,5,History & Social Sciences,88
ALLEGHANY CO PBLC SCHS,SHARON ELEM,Elem,KG,5,Mathematics,74
ALLEGHANY CO PBLC SCHS,SHARON ELEM,Elem,KG,5,Science,68
AMELIA CO PBLC SCHS,AMELIA CO PBLC SCHSELEM,Elem,PK,4,English: Reading,80
AMELIA CO PBLC SCHS,AMELIA CO PBLC SCHSELEM,Elem,PK,4,History & Social Sciences,84
AMELIA CO PBLC SCHS,AMELIA CO PBLC SCHSELEM,Elem,PK,4,Mathematics,80
AMELIA CO PBLC SCHS,AMELIA CO PBLC SCHSHIGH,High,9,12,English: Reading,87
AMELIA CO PBLC SCHS,AMELIA CO PBLC SCHSHIGH,High,9,12,English: Writing,82
AMELIA CO PBLC SCHS,AMELIA CO PBLC SCHSHIGH,High,9,12,History & Social Sciences,84
AMELIA CO PBLC SCHS,AMELIA CO PBLC SCHSHIGH,High,9,12,Mathematics,85
AMELIA CO PBLC SCHS,AMELIA CO PBLC SCHSHIGH,High,9,12,Science,83
AMELIA CO PBLC SCHS,AMELIA CO PBLC SCHSMIDDLE,Combined,5,8,English: Reading,74
AMELIA CO PBLC SCHS,AMELIA CO PBLC SCHSMIDDLE,Combined,5,8,English: Writing,72
AMELIA CO PBLC SCHS,AMELIA CO PBLC SCHSMIDDLE,Combined,5,8,History & Social Sciences,89
AMELIA CO PBLC SCHS,AMELIA CO PBLC SCHSMIDDLE,Combined,5,8,Mathematics,82
AMELIA CO PBLC SCHS,AMELIA CO PBLC SCHSMIDDLE,Combined,5,8,Science,74
AMHERST CO PBLC SCHS,AMELON ELEM,Elem,PK,5,English: Reading,73
AMHERST CO PBLC SCHS,AMELON ELEM,Elem,PK,5,History & Social Sciences,85
AMHERST CO PBLC SCHS,AMELON ELEM,Elem,PK,5,Mathematics,74
AMHERST CO PBLC SCHS,AMELON ELEM,Elem,PK,5,Science,73
