Division No.,Division Name,School No.,School Name,Grade,Hispanic,American_Indian_Alaska_Native ,Asian,Black,Native_Hawaiian_Pacific_Islander ,White,Two_More_Races,"TotalFull-time Students",Part-time Students,Totals
2,ALBEMARLE CO PBLC SCHS,160,AGNOR-HURT ELEM,KG,20,0,2,16,0,32,11,81,0,81
2,ALBEMARLE CO PBLC SCHS,160,AGNOR-HURT ELEM,PK,13,0,1,12,0,6,3,35,0,35
2,ALBEMARLE CO PBLC SCHS,"1,060",ALBEMARLE COUNTY COMMUNITY PUBLIC CHARTER,6,0,0,0,2,0,12,3,17,0,17
2,ALBEMARLE CO PBLC SCHS,"1,060",ALBEMARLE COUNTY COMMUNITY PUBLIC CHARTER,7,0,0,0,1,0,12,2,15,0,15
2,ALBEMARLE CO PBLC SCHS,"1,060",ALBEMARLE COUNTY COMMUNITY PUBLIC CHARTER,8,2,0,0,0,0,14,2,18,0,18
2,ALBEMARLE CO PBLC SCHS,880,ALBEMARLE HIGH,9,68,1,43,79,0,282,33,506,0,506
2,ALBEMARLE CO PBLC SCHS,880,ALBEMARLE HIGH,10,62,1,38,76,0,283,22,482,1,482
2,ALBEMARLE CO PBLC SCHS,880,ALBEMARLE HIGH,11,48,1,40,71,0,315,24,499,0,499
2,ALBEMARLE CO PBLC SCHS,880,ALBEMARLE HIGH,12,51,3,36,72,0,311,26,499,2,499
2,ALBEMARLE CO PBLC SCHS,"1,053",BAKER-BUTLER ELEM,1,12,0,5,3,0,60,7,87,0,87
2,ALBEMARLE CO PBLC SCHS,"1,053",BAKER-BUTLER ELEM,2,11,0,7,13,0,73,7,111,0,111
2,ALBEMARLE CO PBLC SCHS,"1,053",BAKER-BUTLER ELEM,3,13,0,4,10,0,74,4,105,0,105
2,ALBEMARLE CO PBLC SCHS,"1,053",BAKER-BUTLER ELEM,4,14,0,2,14,0,65,5,100,0,100
2,ALBEMARLE CO PBLC SCHS,"1,053",BAKER-BUTLER ELEM,5,13,0,6,10,0,57,4,90,0,90
2,ALBEMARLE CO PBLC SCHS,"1,053",BAKER-BUTLER ELEM,KG,11,1,1,5,0,66,7,91,0,91
2,ALBEMARLE CO PBLC SCHS,"1,053",BAKER-BUTLER ELEM,PK,1,0,0,0,0,9,1,11,0,11
2,ALBEMARLE CO PBLC SCHS,900,BENJAMIN F YANCEY ELEM,1,2,0,0,3,0,17,2,24,0,24
2,ALBEMARLE CO PBLC SCHS,900,BENJAMIN F YANCEY ELEM,2,0,0,0,3,0,15,0,18,0,18
2,ALBEMARLE CO PBLC SCHS,900,BENJAMIN F YANCEY ELEM,3,5,0,0,3,0,5,3,16,0,16
2,ALBEMARLE CO PBLC SCHS,900,BENJAMIN F YANCEY ELEM,4,1,0,0,6,0,12,2,21,0,21
2,ALBEMARLE CO PBLC SCHS,900,BENJAMIN F YANCEY ELEM,5,4,0,0,5,0,16,1,26,0,26
